样本编号,所属领域,查新点核心技术特征,对比文献关键片段,专家标注,细粒度差异说明
S-015,生物医药,一种重组mRNA疫苗脂质纳米颗粒(LNP)递送配方，包含[阳离子脂质ALC-0315]、DSPC、胆固醇和[PEG-2000]。,“…公开了一种mRNA疫苗的LNP递送系统载体配方，具体成分包含ALC-0315脂质、DSPC、胆固醇以及PEG-2000…”,不新颖(包含),查新点中关于脂质纳米颗粒的四种核心化学成分及配比思路已被对比文献完全涵盖。
S-016,机械制造,一种汽车动力电池热管理系统，采用相变材料(PCM)复合液冷板，相变材料内部分布有[三维连续的泡沫铜网络]。,“…开发了一种电池热管理模组，利用相变材料吸收热量，并在PCM内部填充了膨胀石墨以提升整体导热系数…”,新颖(相离),热管理宏观思路相同，但提升导热性的核心内部支撑结构（三维泡沫铜网络 vs 膨胀石墨）存在明显差异。
S-017,电子信息,一种适用于边缘计算的轻量级目标检测网络，骨干网络采用MobileNetV3，并在颈部网络引入了[双向特征金字塔(BiFPN)]。,“…提出了一种面向边缘设备的轻量级目标检测模型，基于MobileNetV3提取特征，后续连接标准的特征金字塔网络(FPN)进行多尺度融合…”,部分新颖(相交),骨干网络完全重合，但查新点在颈部特征融合网络上进行了改进（BiFPN取代FPN），具备参数级新颖性。
S-018,生物医药,用于骨缺损修复的3D打印水凝胶支架，材料为甲基丙烯酰化明胶(GelMA)，内部负载了[促成骨生长因子BMP-2]。,“…制备了一种用于骨组织工程的3D打印多孔支架，主要基材为GelMA水凝胶，展现出良好的生物相容性…”,部分新颖(相交),基础支架材料被涵盖，但查新点进一步负载了“[促成骨生长因子BMP-2]”，增强了生物学功能。
S-019,机械制造,一种桥梁拉索表面爬行检测机器人，攀爬机制采用[永磁履带式]吸附，检测手段为[漏磁检测(MFL)与高清视觉]双模态融合。,“…设计了一款用于斜拉桥钢索的自动检测机器人，采用多轮夹紧式机械结构爬行，搭载高清摄像头识别表面裂纹…”,新颖(相离),应用场景相同，但机器人的核心攀爬机制（永磁履带 vs 轮式夹紧）及检测手段（漏磁+视觉 vs 纯视觉）均相离。
S-020,电子信息,一种基于大语言模型的代码自动生成方法，利用检索增强生成(RAG)技术从本地代码库召回上下文，并引入了[语法树(AST)校验]机制。,“…介绍了一种智能代码补全插件，其原理是利用大模型结合RAG技术，从项目历史代码中检索相关片段以提高生成准确率…”,部分新颖(相交),RAG大模型代码生成的核心路线被涵盖，但查新点额外引入的“[AST语法树校验]”属于未被文献提及的新特征。
S-021,生物医药,一种抗衰老护肤品组合物，核心有效成分由[玻色因]、[麦角硫因]及[浓度为0.5%的视黄醇]按照特定比例复配而成。,“…公开了一种具有抗皱紧致功效的化妆品配方，其活性物组合包含玻色因、麦角硫因和0.5%的视黄醇…”,不新颖(包含),查新点声称的三种核心有效成分及其特定浓度均已被该现有技术文献完整披露，无新颖性。
S-022,电子信息,一种多模态大语言模型的视觉微调方法，冻结语言基座权重，仅对[视觉编码器]与[投影层(Projector)]进行低秩自适应(LoRA)微调。,“…提出了一种高效多模态微调策略，在训练过程中保持大语言模型参数固定，通过全参数微调视觉编码器以适应新领域图像…”,部分新颖(相交),冻结语言基座的宏观策略相同，但查新点采用的微调手段（LoRA微调 vs 全参数微调）及微调范围（包含投影层）具有局部创新。
S-023,机械制造,一种重载无人机起落架缓冲系统，采用[磁流变阻尼器]，能够根据无人机下降速率通过电磁场[毫秒级实时调节]阻尼力。,“…设计了一款大载重无人机起落架，采用传统的油气混合减震器，通过内部孔隙节流实现着陆时的能量吸收…”,新颖(相离),任务目标一致，但核心缓冲元件（磁流变阻尼器 vs 油气减震器）和控制方式（主动电磁调节 vs 被动节流）完全不同。
S-024,生物医药,一种无创连续血糖监测(CGM)柔性贴片，电极基底采用[激光诱导石墨烯(LIG)]，并修饰了[普鲁士蓝-葡萄糖氧化酶]复合物。,“…开发了一种可穿戴式汗液葡萄糖传感器，电极采用碳纳米管(CNT)网络，表面固定葡萄糖氧化酶以实现催化传感…”,新颖(相离),无创监测概念相同，但电极基底材料（LIG vs CNT）及催化修饰物（引入普鲁士蓝作为电子媒介）存在实质性技术区别。
S-025,电子信息,一种基于图神经网络(GNN)的智能电网拓扑故障定位算法，创新性地在图卷积层后加入了[多头时空注意力机制]。,“…提出利用图卷积神经网络处理电网拓扑数据，通过节点信息的传递与聚合，快速定位电网中的短路故障点…”,部分新颖(相交),利用GNN处理电网拓扑的基础方案已被涵盖，但查新点所特有的“[多头时空注意力机制]”未被公开，具备部分新颖性。
S-026,机械制造,一种用于大功率芯片散热的3D打印均温板(VC)，内部毛细结构采用基于极小曲面(TPMS)的[Gyroid仿生点阵]结构。,“…研究了一种采用选区激光熔化技术制造的微通道散热器，其内部设计了密集的蜂窝状微柱结构以增加毛细抽吸力…”,新颖(相离),均温板制造工艺相似，但核心的内部毛细结构拓扑特征（Gyroid仿生点阵 vs 蜂窝状微柱）在流体力学性能上存在根本差异。
S-027,生物医药,一种用于治疗干眼症的滴眼液组合物，有效成分为[0.1%玻璃酸钠]与[0.05%环孢素A]，辅料含有[聚山梨酯80]。,“…公开了一种眼用制剂，主要成分由0.1%的玻璃酸钠和0.05%环孢素A组成，配方中加入聚山梨酯80作为增溶剂…”,不新颖(包含),查新点所述的滴眼液主药成分、具体浓度比例以及关键辅料均已被对比文献完全公开，不具备任何新颖性。
S-028,电子信息,面向金融长文本的情感分析模型，基于RoBERTa架构，在每个Transformer层中插入了[Adapter微调模块]以降低显存消耗。,“…本研究探讨了RoBERTa模型在金融新闻情感分类中的应用，通过对全量参数进行特定领域的继续预训练来提升准确率…”,部分新颖(相交),底层语言模型架构（RoBERTa）及应用场景（金融情感）重合，但查新点的轻量化训练策略（插入Adapter模块）未被文献涵盖。
S-029,机械制造,一种用于抓取易碎物品的软体机械手，手指本体由硅胶浇注而成，表面覆盖了一层具有[电致粘附(Electro-adhesion)]功能的柔性电极膜。,“…开发了一种气动驱动的硅胶软体夹爪，通过调节内部气腔压力实现手指的弯曲变形，适用于对草莓等软质水果的无损抓取…”,部分新颖(相交),软体材料及气动弯曲的宏观机制相似，但查新点额外引入的“[电致粘附]”功能层提供了额外的抓取机制，具有新颖性。
S-030,生物医药,一种光固化牙科复合树脂材料，其树脂基质采用[Bis-GMA与TEGDMA混合物]，无机填料为经硅烷偶联剂处理的[纳米二氧化硅]。,“…本发明涉及一种牙科充填树脂，配方中基体为Bis-GMA和TEGDMA，并填充了经过表面改性处理的纳米二氧化硅颗粒…”,不新颖(包含),查新点所述的光固化牙科树脂的核心基质成分、无机填料种类及处理方式均已被对比文献完整涵盖。
S-031,电子信息,一种抑制大模型幻觉的知识问答方法，采用[知识图谱(KG)]与[向量数据库]双路检索，并通过[交叉注意力机制]融合实体关系。,“…提出了一种面向特定领域的检索增强生成(RAG)问答系统，其核心是通过构建本地化的高维向量数据库来实现知识的精准召回…”,新颖(相离),宏观应用（RAG问答）相同，但查新点独创的“[知识图谱+向量]双路检索与交叉融合”机制未被文献涵盖，技术路线相离。
S-032,机械制造,一种下肢康复外骨骼机器人，关节驱动采用[串联弹性驱动器(SEA)]，控制策略引入了[表面肌电信号(sEMG)意图识别]算法。,“…研发了一款用于卒中患者的下肢外骨骼，其膝关节配置了串联弹性驱动器(SEA)，并基于预设的步态轨迹进行位置控制…”,部分新颖(相交),硬件驱动结构（SEA）完全重合，但查新点在人机交互控制策略上引入了“[肌电信号意图识别]”，具备显著的局部新颖性。
S-033,生物医药,一种靶向CD19的CAR-T细胞制备方法，采用慢病毒载体进行基因转导，细胞培养过程中添加了[IL-7与IL-15]细胞因子。,“…公开了一种针对B细胞淋巴瘤的CAR-T细胞疗法，详细描述了利用慢病毒载体将CD19靶向的嵌合抗原受体导入T细胞，并采用IL-7和IL-15进行扩增…”,不新颖(包含),查新点涉及的靶点(CD19)、基因转导载体(慢病毒)以及扩增用的特定细胞因子(IL-7/IL-15)均被该文献完整披露。
S-034,电子信息,一种自动驾驶3D目标检测算法，基于鸟瞰图(BEV)特征表示，创新性地引入了[时空Transformer模块]以融合多帧历史数据。,“…该自动驾驶感知网络利用PointPillars算法将点云转换为BEV伪图像，随后利用2D卷积神经网络提取单帧空间特征进行边界框回归…”,部分新颖(相交),空间特征表达视角（BEV）重合，但查新点针对时序动态特征引入的“[时空Transformer融合模块]”未被对比文献提及。
S-035,机械制造,一种兆瓦级风力发电机增速齿轮箱，其高速轴支撑结构摒弃了传统机械轴承，采用了[全悬浮主动电磁轴承(AMB)]。,“…设计了一种适用于海上大功率风力发电机的轻量化齿轮箱，为应对高转速摩擦，其高速端配备了自润滑陶瓷球轴承…”,新颖(相离),应用设备与部位相同，但核心支撑部件的物理机制（主动电磁悬浮 vs 陶瓷机械接触）存在根本性的技术路线差异。
S-036,生物医药,一种用于肿瘤早期筛查的微流控芯片，采用[确定性侧向位移(DLD)]微柱阵列，并耦合了[表面声波(SAW)]实现循环肿瘤细胞(CTC)的无损分离。,“…本发明涉及一种用于捕获血液中稀有细胞的微流控装置，通过设计特定间距的DLD微柱阵列，利用流体力学尺寸效应分离肿瘤细胞…”,部分新颖(相交),微流控基础分选结构（DLD）一致，但查新点额外耦合的“[表面声波(SAW)]”主动声学分离技术构成了部分新颖性特征。
S-037,电子信息,面向6G的智能反射表面(RIS)通信系统，采用[有源RIS阵列]，内部集成了射频放大器以实现[信号的主动放大与相位重构]。,“…探究了智能反射表面在盲区覆盖中的应用，利用由PIN二极管控制的无源反射单元，通过改变相位来被动调整电磁波的反射方向…”,新颖(相离),宏观研究对象（RIS系统）相同，但查新点采用的元件性质与机制（有源放大 vs 无源反射）属于完全不同的技术代际。
S-038,机械制造,一种管网内检测智能猪(PIG)，搭载了超声波测厚探头，并创新性地集成了[远场涡流(RFEC)阵列]以检测管道外壁的防腐层剥落。,“…研制了一款长输油气管道内检测机器人，主要依靠搭载的高频超声波传感器及漏磁(MFL)探头对管壁的金属减薄和裂纹进行探伤…”,部分新颖(相交),基础搭载平台及超声检测手段重合，但查新点用于外层防腐检测的“[远场涡流阵列]”技术未在漏磁检测文献中出现。
S-039,生物医药,一种可降解心血管支架，基体材料选用[锌铜合金(Zn-Cu)]，表面通过静电纺丝技术包覆了一层[聚乳酸(PLA)载药薄膜]。,“…提供了一种具有良好生物相容性的全降解血管支架，其骨架由新型镁合金(Mg-Nd-Zn)微管激光切割而成，表面未作特殊涂层处理…”,新颖(相离),均为可降解金属支架，但核心基体材料（锌基合金 vs 镁基合金）以及是否具备载药涂层设计上存在实质性区别。
S-040,电子信息,一种基于运动意图解码的脑机接口(BCI)系统，采集头皮脑电(EEG)后，解码算法采用了受生物学启发的[脉冲神经网络(SNN)]。,“…开发了一套无创脑机接口轮椅控制系统，通过对采集到的EEG信号进行预处理，随后输入到卷积神经网络(CNN)中进行运动想象分类…”,部分新颖(相交),信号输入源（EEG）与应用意图重合，但查新点的核心解码算法范式（脉冲神经网络SNN vs 经典CNN）存在显著创新。
S-041,机械制造,一种高精度数控机床主轴冷却结构，主轴外套筒采用[静压轴承]支撑，冷却液通道设计为[双螺旋交错式水冷套]。,“…该高速精密加工中心的主轴系统选用了液体静压轴承以提升回转精度，并在套筒外壁加工了平行的直槽式冷却水道以带走热量…”,部分新颖(相交),主轴支撑形式（静压轴承）被涵盖，但查新点在热力学结构优化上的“[双螺旋交错式水道]”设计具有局部参数新颖性。
S-042,生物医药,一种针对阿尔茨海默病(AD)的单克隆抗体药物，靶向淀粉样蛋白(Aβ)的[N端外露表位]，抗体亚型为[IgG1]，具备引发小胶质细胞吞噬的功能。,“…研究公开了一种用于治疗阿尔茨海默病的重组人源化单抗，该IgG1型抗体能够特异性结合Aβ斑块，激活免疫清除机制…”,不新颖(包含),查新点所述的适应症、作用靶点(Aβ斑块)、抗体亚型(IgG1)及宏观药理机制已被该现有专利文献全面覆盖。
S-043,电子信息,一种智能家居物联网设备接入协议，采用MQTT轻量级传输，安全层使用[AES-256对称加密]与[TLS 1.3]双重验证。,“…探讨了智慧家庭环境下的设备互联方案，文中推荐使用低带宽消耗的MQTT协议，并通过AES-256算法对传输报文进行加密保护…”,不新颖(包含),查新点提及的网络传输协议（MQTT）及核心加密算法（AES-256）已被对比文献明确论述，无显著新颖性。
S-044,机械制造,一种空间站舱段对接机构，摒弃了传统的机械导向瓣，采用[电磁捕获接口]，通过[多极磁环的非接触式引力]实现柔性对接。,“…公开了一种用于航天器在轨组装的异体同构周边式对接机构，主要依靠捕获锁、导向瓣和缓冲阻尼器等机械部件实现刚性连接…”,新颖(相离),应用场景完全相同，但核心技术机制（电磁非接触引力 vs 纯机械碰撞锁紧）属于物理原理层面的彻底相离。
S-045,生物医药,一种口服胰岛素递送系统，将胰岛素包裹在[PLGA纳米颗粒]中，最后装入[肠溶性胶囊]以避免胃酸降解。,“…设计了一种可克服胃肠道屏障的口服蛋白质药物载体，制备工艺为先合成负载胰岛素的PLGA纳米粒，再将其填充至抗胃酸的肠溶胶囊中…”,不新颖(包含),该给药系统的两级核心保护结构（PLGA纳米包裹 + 肠溶胶囊）及应用目标均已被该对比文献完全公开。
S-046,电子信息,一种量子计算纠错编码方案，基于特定的[拓扑量子比特]，采用了[表面码(Surface Code)]架构以容忍更高的物理错误率。,“…本发明涉及量子计算机的错误缓解技术，提出了一种改进的Shor九比特纠错码方案，能够同时纠正单比特的比特翻转和相位翻转错误…”,新颖(相离),研究领域相同，但查新点采用的纠错架构原理（拓扑表面码 vs Shor经典级联码）存在底层数学与物理实现上的本质差异。
S-047,机械制造,一种桌面级FDM 3D打印机挤出头，采用[双齿轮近程挤出]结构，热端部分为[全金属喉管(All-metal hotend)]以支持高温耗材。,“…提供了一种稳定进丝的3D打印机喷头组件，其采用了双齿轮啮合驱动耗材，并配备了无特氟龙内衬的全金属散热喉管…”,不新颖(包含),查新点所强调的两项核心硬件升级（双齿轮驱动、全金属热端）均已被该对比文献的权利要求所覆盖。
S-048,生物医药,一种用于软骨组织工程的仿生支架，采用[脱细胞基质(dECM)]与[海藻酸钠]互穿网络，并通过[紫外光交联]固化。,“…制备了一种含有软骨微环境因子的注射用水凝胶，以软骨脱细胞基质(dECM)为主要原料，通过温敏物理凝胶化成型…”,部分新颖(相交),核心生物原材料（dECM）相同，但查新点引入的高分子网络（海藻酸钠）及交联固化方式（UV光交联 vs 温敏物理交联）存在差异。
S-049,电子信息,一种基于区块链的农产品溯源系统，底层账本采用[Hyperledger Fabric]联盟链架构，并在链下使用[星际文件系统(IPFS)]存储视频证据。,“…构建了从农田到餐桌的安全溯源平台，系统基于Fabric联盟链记录关键流转信息，同时引入IPFS分布式网络解决大容量图像数据的存储问题…”,不新颖(包含),查新点的整体架构及核心技术选型（Fabric联盟链 + IPFS链下扩容存储）已被现有系统文献完全披露。
S-050,机械制造,一种电动汽车轮毂电机散热结构，定子槽内嵌入了[微热管阵列(MHP)]，并利用转子旋转产生的[离心风扇效应]进行端部主动冷却。,“…提出了一种提高外转子轮毂电机功率密度的水冷方案，在电机定子机壳外部设计了螺旋状水冷通道，通过外部泵送冷却液带走热量…”,新颖(相离),应用目标一致，但核心散热机制与结构设计（内置微热管+自驱动风冷 vs 外置水冷槽+外部泵送）属于完全不同的技术路线。
